1500;May;27;A;71.5N;152.4E;320;04m13s
1500;Nov;21;T;76.4S;91.4W;159;00m52s
1501;Apr;17;P;61.9S;1.1W;;
1501;May;17;Pb;63.7N;13.6W;;
1501;Oct;12;P;61.4N;133.9E;;
1502;Apr;7;T;12.6S;104.7E;205;04m49s
1502;Oct;1;A;19.3N;62.8E;306;08m16s
1503;Mar;27;T;21.1N;164.1W;218;05m04s
1503;Sep;20;A;14.1S;38.5E;190;05m27s
1504;Mar;16;P;61.0N;114.0W;;
1504;Sep;8;A;55.3S;102.6W;83;00m32s
1505;Feb;4;P;61.7S;156.9W;;
1505;Jul;30;T;67.9N;55.6W;593;03m25s
1506;Jan;24;A;38.3S;106.1E;325;08m26s
1506;Jul;20;T;30.4N;19.8W;209;05m08s
1507;Jan;13;A;3.0S;68.3E;181;05m42s
1507;Jul;10;H;12.4S;126.0E;40;01m01s
1508;Jan;2;A;52.8N;77.0W;92;00m28s
1508;May;29;P;67.1N;72.8E;;
1508;Jun;28;P;64.5S;10.4E;;
1508;Nov;22;P;67.8S;74.6E;;
1509;May;18;A;64.9N;124.3W;233;03m56s
1509;Nov;12;H;45.8S;23.2E;50;01m06s
1510;May;8;H;13.5N;161.4E;12;00m22s
1510;Nov;1;A;1.5S;108.7W;148;04m54s
1511;Apr;27;T;40.0S;14.7W;286;03m50s
1511;Oct;21;A+;70.7N;98.6W;-;-
1512;Mar;17;P;72.0N;110.2E;;
1512;Apr;16;Pb;70.6S;131.9E;;
1512;Sep;10;P;72.0S;17.4E;;
1513;Mar;7;H;17.6N;1.8W;15;00m24s
1513;Aug;30;T;19.5S;31.9W;80;02m03s
1514;Feb;24;A;28.2S;90.0W;208;05m51s
1514;Aug;20;T;26.5N;119.9E;228;05m38s
1515;Feb;13;P;71.5S;18.9E;;
1515;Jul;11;Pe;68.5S;38.2W;;
1515;Aug;9;P;70.8N;7.1W;;
1516;Jan;4;P;68.1N;117.7E;;
1516;Jun;30;A;33.8S;161.3E;64;01m03s
1516;Dec;23;T;2.2N;27.9W;75;02m05s
1517;Jun;19;A;19.5N;96.1E;164;05m50s
1517;Dec;13;T;38.2S;103.0E;161;03m52s
1518;Jun;8;A;67.0N;73.4E;259;04m13s
1518;Dec;2;T;80.4S;128.7E;125;00m41s
1519;Apr;28;P;62.5S;120.2W;;
1519;May;28;P;64.6N;126.3W;;
1519;Oct;23;P;61.9N;7.4E;;
1520;Apr;17;T;12.6S;12.2W;226;05m15s
1520;Oct;11;A;17.8N;49.4W;329;08m57s
1521;Apr;7;T;22.8N;77.3E;222;05m15s
1521;Sep;30;A;16.2S;73.3W;191;05m30s
1522;Mar;27;T;62.0N;127.7E;347;00m26s
1522;Sep;19;A;53.9S;146.1E;42;00m23s
1523;Feb;15;P;61.2S;77.4E;;
1523;Aug;11;Tn;62.7N;135.9W;-;02m44s
1524;Feb;4;A;35.4S;9.3W;315;08m05s
1524;Jul;30;T;30.8N;130.2W;198;04m40s
1525;Jan;23;A;1.2S;54.8W;163;04m58s
1525;Jul;20;H;9.3S;19.4E;21;00m35s
1526;Jan;13;A;51.0N;148.8E;19;00m07s
1526;Jun;10;Pe;66.1N;34.1W;;
1526;Jul;9;P;63.6S;97.8W;;
1526;Dec;4;P;66.7S;68.9W;;
1527;May;30;A;73.4N;144.6E;255;03m28s
1527;Nov;23;H;48.6S;102.5W;34;00m45s
1528;May;18;H;19.9N;54.6E;29;00m56s
1528;Nov;12;A;4.9S;128.4E;166;05m36s
1529;May;7;T;31.3S;133.1W;276;04m38s
1529;Nov;1;An;61.7N;122.8E;-;08m09s
1530;Mar;29;P;71.7N;24.4W;;
1530;Apr;27;P;69.9S;2.9E;;
1530;Sep;21;P;72.0S;108.9W;;
1531;Mar;18;H;24.3N;122.1W;13;00m21s
1531;Sep;10;T;26.4S;151.0W;81;01m56s
1532;Mar;7;A;21.8S;154.3E;201;05m59s
1532;Aug;30;T;19.3N;0.0E;221;05m40s
1533;Feb;24;P;71.9S;108.5W;;
1533;Aug;20;T;73.7N;178.3E;678;02m40s
1534;Jan;14;P;69.1N;19.7W;;
1534;Jul;11;A;44.9S;52.5E;144;01m35s
1535;Jan;3;T;3.8N;160.1W;86;02m22s
1535;Jun;30;A;13.5N;0.6W;173;06m19s
1535;Dec;24;T;37.5S;27.4W;161;03m55s
1536;Jun;18;A;61.0N;13.4W;220;04m17s
1536;Dec;13;T;84.5S;17.2W;97;00m33s
1537;May;9;P;63.2S;121.2E;;
1537;Jun;7;P;65.5N;120.2E;;
1537;Nov;2;P;62.6N;120.7W;;
1538;Apr;28;T;13.7S;127.7W;249;05m38s
1538;Oct;22;A;16.6N;164.1W;351;09m41s
1539;Apr;18;T;23.7N;38.7W;225;05m28s
1539;Oct;12;A;18.7S;172.2E;192;05m35s
1540;Apr;7;T;63.1N;34.7E;123;00m42s
1540;Sep;30;A;54.6S;29.2E;27;00m17s
1541;Feb;25;P;61.0S;45.8W;;
1541;Aug;21;P;61.3N;102.0E;;
1541;Sep;19;Pb;61.1S;135.3E;;
1542;Feb;14;A;32.5S;123.8W;305;07m44s
1542;Aug;11;T;30.6N;118.6E;184;04m12s
1543;Feb;3;A;1.0N;177.0W;143;04m14s
1543;Jul;31;H;7.3S;87.0W;3;00m05s
1544;Jan;24;H;49.7N;16.0E;40;00m16s
1544;Jul;19;P;62.8S;153.9E;;
1544;Dec;14;P;65.6S;147.6E;;
1545;Jun;9;A;81.2N;72.0E;303;03m06s
1545;Dec;4;H;50.1S;132.1E;20;00m25s
1546;May;29;H;25.7N;51.0W;46;01m24s
1546;Nov;23;A;7.3S;4.9E;181;06m13s
1547;May;19;T;23.5S;110.7E;270;05m22s
1547;Nov;12;A;55.5N;4.7W;1419;08m59s
1548;Apr;8;P;71.2N;156.5W;;
1548;May;7;P;69.0S;124.2W;;
1548;Oct;1;P;71.7S;122.3E;;
1549;Mar;29;H;31.4N;120.1E;11;00m16s
1549;Sep;21;T;33.2S;88.0E;82;01m49s
1550;Mar;18;A;15.1S;40.8E;194;06m05s
1550;Sep;10;T;12.4N;121.8W;212;05m38s
1551;Mar;7;P;72.2S;126.5E;;
1551;Aug;31;T;65.7N;28.4E;391;02m52s
1552;Jan;25;P;70.0N;156.6W;;
1552;Jul;21;As;62.9S;64.6W;-;02m05s
1553;Jan;14;T;6.3N;68.3E;99;02m41s
1553;Jul;10;A;6.8N;98.5W;185;06m46s
1554;Jan;3;T;35.8S;158.1W;163;04m00s
1554;Jun;29;A;54.0N;104.8W;195;04m22s
1554;Dec;24;T;87.5S;159.2E;75;00m25s
1555;May;20;P;64.0S;3.3E;;
1555;Jun;19;P;66.5N;6.6E;;
1555;Nov;14;P;63.3N;109.4E;;
1556;May;9;T;16.0S;117.8E;274;05m58s
1556;Nov;2;A;15.5N;78.9E;370;10m24s
1557;Apr;28;T;24.0N;153.1W;227;05m42s
1557;Oct;22;A;21.1S;56.0E;192;05m40s
1558;Apr;18;T;64.1N;67.8W;100;00m50s
1558;Oct;11;A;56.5S;90.3W;18;00m12s
1559;Mar;9;P;60.8S;166.6W;;
1559;Sep;1;P;61.1N;25.3W;;
1559;Oct;1;P;61.3S;3.4E;;
